SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common)
642335,USD,2022,FY,2022-09-22,2023-09-28,9543762.0,9543762.0,1468457.0,-217529.0,1250928.0,-37839376.0,-16511942.0,-21327434.0,,-36588448,390149.0,-29682.0,-36198299,,-36198299,,-36198299,,-36198299,-36198299
11817082,USD,2021,FY,2022-03-11,2022-03-11,34500000.0,34500000.0,,,,-2309331.0,-2309331.0,,,-2309331,75817.0,75817.0,-2233514,571599.0,-1661915,,-1661915,,-1661915,-1661915
963029,USD,2019,FY,2019-08-06,2021-08-27,22911764.0,22911764.0,915000000.0,-531500000.0,383500000.0,-585800000.0,-531000000.0,-54800000.0,,-202300000,6700000.0,7000000.0,-195600000,,-195600000,-100000.0,-195700000,,-195700000,-245700000
963029,USD,2020,FY,2020-09-11,2022-09-07,220952237.0,220952237.0,1825900000.0,-988200000.0,837700000.0,-917200000.0,-828100000.0,-89100000.0,,-79500000,12300000.0,16200000.0,-67200000,-1200000.0,-68400000,-3300000.0,-71700000,,-71700000,-71700000
963029,USD,2021,FY,2021-08-06,2023-08-23,292276299.0,348094379.0,4021800000.0,-2567400000.0,1454400000.0,-1637700000.0,-1390100000.0,-247600000.0,,-183300000,-10300000.0,-6900000.0,-193600000,-4500000.0,-198100000,9200000.0,-188900000,,-188900000,-188900000
963029,USD,2022,FY,2022-09-07,2023-08-23,322368818.0,322368818.0,3582200000.0,-2883800000.0,698400000.0,-2679400000.0,-1982300000.0,-359500000.0,,-1981000000,-74000000.0,-40700000.0,-2055000000,-753100000.0,-2808100000,-19600000.0,-2827700000,,-2827700000,-2827700000
10656518,USD,2020,FY,2021-02-12,2023-03-17,207348266.0,207348266.0,196943000.0,-189404000.0,7539000.0,-103372000.0,-67139000.0,-36233000.0,,-95833000,-18042000.0,-15413000.0,-113875000,-13110000.0,-126985000,-22000.0,-127007000,,-127007000,-127007000
10656518,USD,2021,FY,2022-03-14,2023-03-17,221959711.0,221959711.0,242860000.0,-240808000.0,2052000.0,-129681000.0,-85841000.0,-43840000.0,,-127629000,-52184000.0,-50982000.0,-179813000,-70177000.0,-249990000,-16000.0,-250006000,,-250006000,-250006000
10656518,USD,2022,FY,2023-03-17,2023-03-17,224301000.0,249156000.0,309364000.0,-333355000.0,-23991000.0,-196864000.0,-133214000.0,-63650000.0,,-220855000,-27296000.0,-28588000.0,-248151000,10201000.0,-237950000,,-237950000,,-237950000,-237950000
7962798,USD,2022,FY,2023-03-10,2023-03-10,23008000.0,23072000.0,946862000.0,-546889000.0,399973000.0,-279455000.0,-166005000.0,,-62806000.0,120518000,-4761000.0,-7929000.0,115757000,3250000.0,119007000,-28335000.0,90672000,,90672000,90672000
10384255,USD,2018,FY,2019-02-14,2021-02-25,175525003.0,175573634.0,5308000000.0,-4464000000.0,844000000.0,-394000000.0,-394000000.0,,,450000000,-388000000.0,-414000000.0,62000000,-18000000.0,44000000,20000000.0,64000000,217000000.0,279000000,279000000
10384255,USD,2019,FY,2020-02-12,2022-02-24,175525003.0,175573634.0,5191000000.0,-4344000000.0,847000000.0,-466000000.0,-466000000.0,,,381000000,-475000000.0,-433000000.0,-94000000,-62000000.0,-156000000,-84000000.0,-240000000,330000000.0,91000000,91000000
10384255,USD,2020,FY,2021-02-05,2023-03-07,146200000.0,146200000.0,4689000000.0,-3969000000.0,720000000.0,-470000000.0,-470000000.0,,,250000000,-338000000.0,-371000000.0,-88000000,-34000000.0,-122000000,112000000.0,-10000000,-15000000.0,-27000000,-27000000
10384255,USD,2021,FY,2022-02-24,2023-03-07,177400000.0,177700000.0,5437000000.0,-4863000000.0,574000000.0,-466000000.0,-466000000.0,,,108000000,-70000000.0,-191000000.0,38000000,-9000000.0,29000000,4000000.0,33000000,-8000000.0,23000000,23000000
10384255,USD,2022,FY,2023-03-07,2023-03-07,177800000.0,178400000.0,6220000000.0,-5223000000.0,997000000.0,-583000000.0,-583000000.0,,,414000000,112000000.0,-218000000.0,526000000,-58000000.0,468000000,-149000000.0,319000000,1000000.0,318000000,318000000
1240866,USD,2019,FY,2020-03-25,2022-03-01,10092152.0,13473917.0,113871000.0,-36104000.0,77767000.0,-69258000.0,-56805000.0,-12453000.0,,8509000,713000.0,1290000.0,9222000,,9222000,-2579000.0,6643000,,6643000,6643000
1240866,USD,2020,FY,2021-02-10,2023-02-28,49109237.0,56784558.0,148748000.0,-41186000.0,107562000.0,-75807000.0,-63557000.0,-12250000.0,,31755000,-175000.0,537000.0,31580000,,31580000,-4967000.0,26613000,,26613000,26613000
1240866,USD,2021,FY,2022-03-01,2023-02-28,50559636.0,56498891.0,226908000.0,-58313000.0,168595000.0,-109806000.0,-93921000.0,-15885000.0,,58789000,581000.0,300000.0,59370000,5433000.0,64803000,-8199000.0,56604000,,56604000,56604000
1240866,USD,2022,FY,2023-02-28,2023-02-28,50559636.0,56498891.0,256380000.0,-81512000.0,174868000.0,-134348000.0,-113502000.0,-20846000.0,,40520000,2895000.0,2214000.0,43415000,-5948000.0,37467000,-8762000.0,28705000,,28705000,28705000
12444443,USD,2020,FY,2021-02-27,2022-04-15,22614041.0,22614041.0,,,,-1126.0,,,,-1126,,,-1126,,-1126,,-1126,,-1126,-1126
12444443,USD,2021,FY,2022-04-15,2023-04-18,22614041.0,22614041.0,,,,-1596618.0,,,,-1596618,25592.0,25592.0,-1571026,293572.0,-1277454,,-1277454,,-1277454,-1277454
12444443,USD,2022,FY,2023-04-18,2023-04-18,25875000.0,7286250.0,,,,-1180194.0,,,,-1180194,3730147.0,3730147.0,2549953,-2136837.0,413116,-709969.0,-296853,,-296853,-296853
11035914,USD,2018,FY,2019-02-19,2020-03-26,206319.0,206319.0,153000.0,,,-20484000.0,-7518000.0,-12966000.0,,-20331000,-164000.0,-159000.0,-20495000,-70000.0,-20565000,,-20565000,,-20565000,-20565000
11035914,USD,2019,FY,2020-03-26,2021-03-23,836695.0,836695.0,7910000.0,,,-21534000.0,-8489000.0,-12845000.0,,-13624000,296000.0,301000.0,-13328000,-7268000.0,-20596000,,-20596000,,-20596000,-20596000
11035914,USD,2020,FY,2021-03-23,2022-03-29,1437666.0,1437666.0,12634000.0,,,-22496000.0,-6887000.0,-15609000.0,,-9862000,-157000.0,82000.0,-10019000,-9289000.0,-19308000,,-19308000,,-19308000,-19308000
11035914,USD,2021,FY,2022-03-29,2023-03-30,2708558.0,2708558.0,5169000.0,,,-21759000.0,-6377000.0,-15382000.0,,-16590000,-4000.0,7000.0,-16594000,-3577000.0,-20171000,,-20171000,,-20171000,-23368000
11035914,USD,2022,FY,2023-03-30,2023-03-30,3447701.0,3447701.0,6071000.0,,,-25018000.0,-6778000.0,-18240000.0,,-18947000,111000.0,309000.0,-18836000,,-18836000,,-18836000,,-18836000,-18836000
1145424,USD,2018,FY,2019-03-01,2021-03-05,83460000.0,87046000.0,1704562000.0,-1270577000.0,433985000.0,-142096000.0,-53958000.0,,-88138000.0,291889000,-7552000.0,-6889000.0,284337000,-59220000.0,225117000,-51255000.0,173862000,,173862000,173862000
1145424,USD,2019,FY,2020-06-22,2022-02-25,100472000.0,103750000.0,2052314000.0,-1470356000.0,581958000.0,-250380000.0,-105076000.0,,-145304000.0,331578000,-7858000.0,-7141000.0,323720000,-110216000.0,213504000,-50494000.0,163010000,,163010000,163010000
1145424,USD,2020,FY,2021-03-05,2023-02-23,100829000.0,100829000.0,789232000.0,-584279000.0,204953000.0,-240058000.0,-86768000.0,,-153290000.0,-35105000,-3257000.0,-2383000.0,-38362000,-96138000.0,-134500000,27480000.0,-107020000,,-107020000,-107020000
1145424,USD,2021,FY,2022-02-25,2023-02-23,103257000.0,103257000.0,874514000.0,-662266000.0,212248000.0,-216298000.0,-82921000.0,,-133377000.0,-4050000,259000.0,-614000.0,-3791000,-64646000.0,-68437000,14252000.0,-54185000,,-54185000,-54185000
1145424,USD,2022,FY,2023-02-23,2023-02-23,105868000.0,106939000.0,1279701000.0,-882820000.0,396881000.0,-239868000.0,-111760000.0,,-128108000.0,157013000,9977000.0,-1605000.0,166990000,-159604000.0,7386000,-5356000.0,2030000,,2030000,2030000
53064,USD,2018,FY,2018-10-25,2018-10-25,67279124.0,67279124.0,1774000.0,-763000.0,1011000.0,-8053000.0,-5235000.0,-459000.0,,-7042000,17000.0,-8000.0,-7025000,-417000.0,-7442000,,-7442000,,-7442000,-7442000
53064,USD,2019,FY,2019-10-30,2020-10-08,72880484.0,72880484.0,1909000.0,-728000.0,1181000.0,-6770000.0,-6416000.0,-354000.0,,-5589000,-5000.0,-6000.0,-5594000,-960000.0,-6554000,,-6554000,,-6554000,-6554000
53064,USD,2020,FY,2020-10-08,2021-10-28,82209487.0,84611822.0,6917000.0,-2896000.0,4021000.0,-4017000.0,-3695000.0,-322000.0,,4000,0.0,-5000.0,4000,,4000,,4000,,4000,4000
53064,USD,2021,FY,2021-10-28,2022-10-28,87157857.0,87157857.0,3927000.0,-1852000.0,2075000.0,-4386000.0,-4047000.0,-339000.0,,-2311000,-8000.0,-4000.0,-2319000,,-2319000,,-2319000,,-2319000,-2319000
53064,USD,2022,FY,2022-10-28,2023-10-30,88835424.0,88835424.0,1853000.0,-853000.0,1000000.0,-4370000.0,-4051000.0,-319000.0,,-3370000,-6000.0,-6000.0,-3376000,-115000.0,-3491000,,-3491000,,-3491000,-3491000
359467,USD,2018,FY,2019-04-29,2021-03-09,15059000.0,15292000.0,440832000.0,-54505000.0,386327000.0,-177572000.0,-26064000.0,,-127961000.0,208755000,-24196000.0,-26462000.0,184559000,40749000.0,225308000,-523000.0,224785000,,224785000,224785000
359467,USD,2019,FY,2020-02-28,2022-03-08,15110000.0,15126000.0,471216000.0,-66285000.0,404931000.0,-228110000.0,-25484000.0,,-174569000.0,176821000,-35964000.0,-35811000.0,140857000,-68131000.0,72726000,-2137000.0,70589000,,70589000,70589000
359467,USD,2020,FY,2021-03-09,2023-03-09,15176000.0,15176000.0,273268000.0,-37463000.0,235805000.0,-191081000.0,-33789000.0,,-140673000.0,44724000,-32107000.0,-31257000.0,12617000,-325477000.0,-312860000,2303000.0,-310557000,,-310557000,-310557000
359467,USD,2021,FY,2022-03-08,2023-03-09,15287000.0,15287000.0,579491000.0,-45402000.0,534089000.0,-229227000.0,-66529000.0,,-131657000.0,304862000,-33067000.0,-33161000.0,271795000,-171317000.0,100478000,-1560000.0,98918000,,40229000,40229000
359467,USD,2022,FY,2023-03-09,2023-03-09,19741000.0,20341000.0,1145189000.0,-85792000.0,1059397000.0,-346804000.0,-40972000.0,,-244455000.0,712593000,-46676000.0,-48931000.0,665917000,-197213000.0,468704000,-4186000.0,464518000,,217693000,217693000
46764,USD,2018,FY,2019-03-29,2021-03-31,76500000.0,77300000.0,9656800000.0,-4348500000.0,5308300000.0,-4432800000.0,-4432800000.0,,,875500000,-94800000.0,-116100000.0,780700000,-5100000.0,775600000,-31000000.0,744600000,,746400000,746400000
46764,USD,2019,FY,2020-04-01,2022-03-30,74200000.0,74600000.0,9909000000.0,-4520600000.0,5388400000.0,-4715200000.0,-4715200000.0,,,673200000,-105100000.0,-114700000.0,568100000,-124100000.0,444000000,-28900000.0,415100000,,417300000,417300000
46764,USD,2020,FY,2021-03-31,2023-03-28,71200000.0,72400000.0,7132600000.0,-3355800000.0,3776800000.0,-3990900000.0,-3983200000.0,,,-214100000,-121300000.0,-121300000.0,-335400000,-857600000.0,-1193000000,55500000.0,-1137500000,,-1136100000,-1136100000
46764,USD,2021,FY,2022-03-30,2023-03-28,71200000.0,71200000.0,9154700000.0,-3830600000.0,5324100000.0,-4311300000.0,-4453900000.0,,,1012800000,-104200000.0,-104200000.0,908600000,64100000.0,972700000,-20700000.0,952000000,,952300000,952300000
12444721,USD,2018,FY,2019-02-13,2021-03-22,17929000.0,17929000.0,53064000.0,-27266000.0,25798000.0,-31534000.0,-24671000.0,-6863000.0,,-5736000,-76000.0,89000.0,-5812000,,-5812000,,-5812000,,-5812000,-5812000
12444721,USD,2019,FY,2020-02-14,2022-08-26,20476000.0,20476000.0,81915000.0,-43551000.0,38364000.0,-42987000.0,-34447000.0,-8540000.0,,-4623000,-1298000.0,-1248000.0,-5921000,-5135000.0,-11056000,75000.0,-10981000,,-10963000,-12047000
